2025-03-30 11:59:40,322 - src.scraping.linkedin_scraper - INFO - Initializing scraping of job IDs
2025-03-30 12:00:52,462 - src.scraping.linkedin_scraper - SUCCESS - Scraped 925 IDs successfully
2025-03-30 12:00:52,462 - src.scraping.linkedin_scraper - INFO - Initializing scraping of job information
2025-03-30 12:00:52,462 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4143512934?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 3.91 seconds
2025-03-30 12:00:56,692 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4187681364?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.97 seconds
2025-03-30 12:01:01,053 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4187060561?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 4.31 seconds
2025-03-30 12:01:05,737 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4142781980?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.71 seconds
2025-03-30 12:01:10,787 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4189553004?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 4.66 seconds
2025-03-30 12:01:15,865 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4193195407?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 3.28 seconds
2025-03-30 12:01:19,535 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4175781800?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.19 seconds
2025-03-30 12:01:24,105 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4194628935?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 4.41 seconds
2025-03-30 12:01:28,924 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4193413664?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 4.52 seconds
2025-03-30 12:01:33,805 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4188230342?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.63 seconds
2025-03-30 12:01:38,810 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4190799837?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 4.30 seconds
2025-03-30 12:01:43,537 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4194334967?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.81 seconds
2025-03-30 12:01:47,743 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4184706997?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 3.46 seconds
2025-03-30 12:01:51,621 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4194339373?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.94 seconds
2025-03-30 12:01:55,875 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4194443091?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.21 seconds
2025-03-30 12:02:00,553 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4190698080?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 3.78 seconds
2025-03-30 12:02:04,785 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4188511746?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.72 seconds
2025-03-30 12:02:08,894 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4184306637?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 3.17 seconds
2025-03-30 12:02:12,447 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4191861882?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 3.49 seconds
